Nome,Princípio Ativo,Tipo,Via de Administração,Concentração,Posologia
Tylenol 500mg,Paracetamol,Referência,Oral,500mg,1 comprimido a cada 6 horas se necessário
Dipirona Monoidratada 500mg Genérico,Dipirona Monoidratada,Genérico,Oral,500mg,1 comprimido a cada 8 horas
Amoxil BD 875mg,Amoxicilina Trihidratada,Referência,Oral,875mg,1 comprimido de 12 em 12 horas
Neosaldina,Dipirona + Cafeína + Isometepteno,Referência,Oral,300mg + 30mg + 30mg,"1 a 2 comprimidos se necessário, até 4 vezes ao dia"
Losartana Potássica 50mg Genérico,Losartana Potássica,Genérico,Oral,50mg,1 comprimido ao dia
Omeprazol 20mg,Omeprazol,Genérico,Oral,20mg,1 cápsula ao dia em jejum
Glucoformin 850mg,Cloridrato de Metformina,Similar,Oral,850mg,1 comprimido duas vezes ao dia
Tylex 30mg,Codeína + Paracetamol,Referência,Oral,30mg + 500mg,1 comprimido a cada 6 horas
Captopril 25mg,Captopril,Genérico,Oral,25mg,1 comprimido 2 a 3 vezes ao dia
Hidroclorotiazida 25mg,Hidroclorotiazida,Genérico,Oral,25mg,1 comprimido ao dia
AAS Infantil 100mg,Ácido Acetilsalicílico,Referência,Oral,100mg,1 comprimido ao dia
Plavix 75mg,Clopidogrel,Referência,Oral,75mg,1 comprimido ao dia
Adalat 10mg,Nifedipino,Referência,Oral,10mg,1 comprimido de 8 em 8 horas
Atenolol 50mg,Atenolol,Genérico,Oral,50mg,1 comprimido ao dia
Metoprolol 25mg,Succinato de Metoprolol,Genérico,Oral,25mg,1 a 2 comprimidos ao dia
Sinvastatina 20mg,Sinvastatina,Genérico,Oral,20mg,1 comprimido à noite
Rosuvastatina 10mg,Rosuvastatina Cálcica,Referência,Oral,10mg,1 comprimido ao dia
Xarelto 20mg,Rivaroxabana,Referência,Oral,20mg,1 comprimido ao dia
Clexane 40mg,Enoxaparina Sódica,Referência,Subcutânea,40mg/0.4ml,1 aplicação ao dia
Tamsulon 0.4mg,Cloridrato de Tansulosina,Referência,Oral,0.4mg,1 cápsula ao dia após o café da manhã
Amitriptilina 25mg,Cloridrato de Amitriptilina,Genérico,Oral,25mg,1 comprimido ao deitar
Sertralina 50mg,Cloridrato de Sertralina,Genérico,Oral,50mg,1 comprimido pela manhã
Escitalopram 10mg,Oxalato de Escitalopram,Genérico,Oral,10mg,1 comprimido ao dia
Fluoxetina 20mg,Cloridrato de Fluoxetina,Genérico,Oral,20mg,1 cápsula ao dia
Risperidona 1mg,Risperidona,Genérico,Oral,1mg,1 a 2 comprimidos por dia
Quetiapina 25mg,Quetiapina,Genérico,Oral,25mg,1 comprimido à noite
Clonazepam 2mg,Clonazepam,Genérico,Oral,2mg,1 comprimido à noite
Alprazolam 0.5mg,Alprazolam,Genérico,Oral,0.5mg,1 comprimido à noite
Diazepam 10mg,Diazepam,Genérico,Oral,10mg,1 comprimido à noite
Carbamazepina 200mg,Carbamazepina,Genérico,Oral,200mg,1 comprimido de 12 em 12 horas
Fenitoína 100mg,Fenitoína Sódica,Genérico,Oral,100mg,1 cápsula 3 vezes ao dia
Ácido Valproico 500mg,Ácido Valproico,Genérico,Oral,500mg,1 comprimido de 12 em 12 horas
Lamotrigina 25mg,Lamotrigina,Genérico,Oral,25mg,1 comprimido ao dia
Topiramato 50mg,Topiramato,Genérico,Oral,50mg,1 comprimido ao dia
Levetiracetam 500mg,Levetiracetam,Genérico,Oral,500mg,1 comprimido 2 vezes ao dia
Ácido Fólico 5mg,Ácido Fólico,Genérico,Oral,5mg,1 comprimido ao dia
Cianocobalamina 1mg,Cianocobalamina,Genérico,Intramuscular,1mg/mL,1 ampola por semana
Vitamina D3 7000UI,Colecalciferol,Similar,Oral,7000UI,1 cápsula por semana
Polivitamínico Centrum,Vitaminas e Minerais,Referência,Oral,comprimido único,1 comprimido ao dia
Prednisona 20mg,Prednisona,Genérico,Oral,20mg,1 comprimido ao dia
Dexametasona 4mg,Dexametasona,Genérico,Oral,4mg,1 comprimido ao dia
Lorazepam 2mg,Lorazepam,Genérico,Oral,2mg,1 comprimido à noite
Bromazepam 3mg,Bromazepam,Genérico,Oral,3mg,1 comprimido ao dia
Clorpromazina 100mg,Clorpromazina,Genérico,Oral,100mg,1 comprimido de 8 em 8 horas
Haloperidol 5mg,Haloperidol,Genérico,Oral,5mg,1 comprimido ao dia
Clonidina 0.1mg,Cloridrato de Clonidina,Genérico,Oral,0.1mg,1 comprimido 2 vezes ao dia
Propranolol 40mg,Cloridrato de Propranolol,Genérico,Oral,40mg,1 comprimido 2 vezes ao dia
Furosemida 40mg,Furosemida,Genérico,Oral,40mg,1 comprimido ao dia
Espironolactona 25mg,Espironolactona,Genérico,Oral,25mg,1 comprimido ao dia
Hidroclorotiazida + Losartana 50mg + 12.5mg,Losartana Potássica + Hidroclorotiazida,Genérico,Oral,50mg + 12.5mg,1 comprimido ao dia
Naproxeno 500mg,Naproxeno Sódico,Genérico,Oral,500mg,1 comprimido a cada 12 horas
Cetoprofeno 100mg,Cetoprofeno,Genérico,Oral,100mg,1 comprimido 2 vezes ao dia
Diclofenaco Sódico 50mg,Diclofenaco Sódico,Genérico,Oral,50mg,1 comprimido a cada 8 horas
Ibuprofeno 600mg,Ibuprofeno,Genérico,Oral,600mg,1 comprimido a cada 6 a 8 horas
Clindamicina 300mg,Cloridrato de Clindamicina,Genérico,Oral,300mg,1 cápsula a cada 6 horas
Ciprofloxacino 500mg,Cloridrato de Ciprofloxacino,Genérico,Oral,500mg,1 comprimido de 12 em 12 horas
Azitromicina 500mg,Azitromicina Di-hidratada,Genérico,Oral,500mg,1 comprimido ao dia por 3 dias
Cefalexina 500mg,Cefalexina,Genérico,Oral,500mg,1 cápsula de 6 em 6 horas
Doxiciclina 100mg,Doxiciclina,Genérico,Oral,100mg,1 comprimido de 12 em 12 horas
Nistatina 100.000UI/mL,Nistatina,Genérico,Oral,100.000UI/mL,5 mL 4 vezes ao dia
Miconazol 20mg/g,Nitrato de Miconazol,Genérico,Tópica,20mg/g,Aplicar 2 vezes ao dia
Fluconazol 150mg,Fluconazol,Genérico,Oral,150mg,Dose única
Metronidazol 400mg,Metronidazol,Genérico,Oral,400mg,1 comprimido de 8 em 8 horas
Albendazol 400mg,Albendazol,Genérico,Oral,400mg,Dose única
Ivermectina 6mg,Ivermectina,Genérico,Oral,6mg,1 comprimido para cada 30kg
Hidroxicloroquina 400mg,Sulfato de Hidroxicloroquina,Genérico,Oral,400mg,1 comprimido ao dia
Loratatina 10mg,Loratadina,Genérico,Oral,10mg,1 comprimido ao dia
Desloratadina 5mg,Desloratadina,Referência,Oral,5mg,1 comprimido ao dia
Levocetirizina 5mg,Levocetirizina Dicloridrato,Genérico,Oral,5mg,1 comprimido ao dia
Cetirizina 10mg,Dicloridrato de Cetirizina,Genérico,Oral,10mg,1 comprimido ao dia
Ranitidina 150mg,Cloridrato de Ranitidina,Genérico,Oral,150mg,1 comprimido de 12 em 12 horas
Famotidina 40mg,Famotidina,Genérico,Oral,40mg,1 comprimido ao dia
Pantoprazol 40mg,Pantoprazol Sódico Sesqui-hidratado,Genérico,Oral,40mg,1 comprimido ao dia em jejum
Esomeprazol 20mg,Esomeprazol Magnésico Tri-hidratado,Referência,Oral,20mg,1 comprimido ao dia em jejum
Domperidona 10mg,Domperidona,Genérico,Oral,10mg,1 comprimido antes das refeições
Bromoprida 10mg,Bromoprida,Genérico,Oral,10mg,1 comprimido antes das refeições
Buscopan Composto,Butilbrometo de Escopolamina + Dipirona,Referência,Oral,10mg + 250mg,1 comprimido até 4 vezes ao dia
Hioscina 10mg,Butilbrometo de Escopolamina,Genérico,Oral,10mg,1 comprimido até 3 vezes ao dia
Dramin B6,Dimenidrinato + Cloridrato de Piridoxina,Referência,Oral,50mg + 10mg,1 comprimido a cada 6 horas se necessário
Plasil 10mg,Cloridrato de Metoclopramida,Referência,Oral,10mg,1 comprimido até 3 vezes ao dia
Noripurum 100mg,Hidróxido de Ferro III Polimaltosado,Referência,Oral,100mg,1 comprimido ao dia
Sulfato Ferroso 40mg,Sulfato Ferroso,Genérico,Oral,40mg,1 comprimido ao dia
Carbonato de Cálcio + Vitamina D3,Carbonato de Cálcio + Colecalciferol,Similar,Oral,500mg + 200UI,1 comprimido ao dia
Calcitriol 0.25mcg,Calcitriol,Referência,Oral,0.25mcg,1 cápsula ao dia
Glicazida 30mg,Glicazida,Genérico,Oral,30mg,1 comprimido antes do café da manhã
Glibenclamida 5mg,Glibenclamida,Genérico,Oral,5mg,1 comprimido ao dia
Insulina NPH,Insulina Humana NPH,Referência,Subcutânea,100UI/mL,Conforme prescrição médica
Insulina Regular,Insulina Humana Regular,Referência,Subcutânea,100UI/mL,Conforme prescrição médica
Levotiroxina 50mcg,Levotiroxina Sódica,Genérico,Oral,50mcg,1 comprimido em jejum pela manhã
Propiltiouracil 100mg,Propiltiouracil,Genérico,Oral,100mg,1 comprimido 3 vezes ao dia
Alendronato 70mg,Alendronato de Sódio,Genérico,Oral,70mg,1 comprimido 1 vez por semana
Risedronato 35mg,Risedronato de Sódio,Referência,Oral,35mg,1 comprimido 1 vez por semana
Desogestrel 75mcg,Desogestrel,Referência,Oral,75mcg,1 comprimido ao dia sem pausa
Levonorgestrel 0.75mg,Levonorgestrel,Referência,Oral,0.75mg,Tomar 2 doses com intervalo de 12h
Etinilestradiol + Levonorgestrel,Etinilestradiol + Levonorgestrel,Genérico,Oral,30mcg + 150mcg,1 comprimido ao dia por 21 dias
Ácido Tranexâmico 250mg,Ácido Tranexâmico,Genérico,Oral,250mg,1 comprimido 3 vezes ao dia
Misoprostol 200mcg,Misoprostol,Genérico,Oral,200mcg,Conforme indicação médica
Sildenafil 50mg,Sildenafila,Genérico,Oral,50mg,1 comprimido conforme necessidade
Tadalafila 20mg,Tadalafila,Genérico,Oral,20mg,1 comprimido ao dia ou conforme necessidade
Finasterida 1mg,Finasterida,Genérico,Oral,1mg,1 comprimido ao dia
Clorfeniramina 4mg,Maleato de Clorfeniramina,Genérico,Oral,4mg,1 comprimido a cada 8 horas
Hidroxizina 25mg,Dicloridrato de Hidroxizina,Genérico,Oral,25mg,1 comprimido até 3x ao dia
Montelucaste de Sódio 10mg,Montelucaste de Sódio,Genérico,Oral,10mg,1 comprimido ao dia
Tiotropio 18mcg,Tiotrópio,Referência,Inalatória,18mcg,1 cápsula por inalação/dia
Formoterol + Budesonida,Fumarato de Formoterol + Budesonida,Referência,Inalatória,6mcg + 200mcg,2 inalações 2x ao dia
Salbutamol 100mcg,Sulfato de Salbutamol,Genérico,Inalatória,100mcg/dose,1 a 2 jatos quando necessário
Brometo de Ipratrópio 20mcg,Brometo de Ipratrópio,Genérico,Inalatória,20mcg/dose,2 jatos 4x ao dia
Beclometasona 250mcg,Dipropionato de Beclometasona,Genérico,Inalatória,250mcg/dose,2 jatos 2x ao dia
Ambroxol 30mg,Cloridrato de Ambroxol,Genérico,Oral,30mg,1 comprimido 3x ao dia
Acetilcisteína 600mg,Acetilcisteína,Genérico,Oral,600mg,1 envelope ao dia dissolvido em água
Hioscina + Dipirona Injetável,Butilbrometo de Escopolamina + Dipirona Sódica,Referência,Intramuscular,20mg + 2.5g/5ml,1 ampola se necessário
Cloreto de Sódio 0.9%,Cloreto de Sódio,Genérico,Intravenosa,0.9%,Conforme prescrição médica
Ringer Lactato,Solução de Ringer com Lactato,Genérico,Intravenosa,Solução,Conforme prescrição médica
Dextrose 5%,Glicose,Genérico,Intravenosa,5%,Conforme prescrição médica
Omeprazol IV 40mg,Omeprazol Sódico,Genérico,Intravenosa,40mg,1 ampola em dose única diária
Ceftriaxona 1g,Ceftriaxona Dissódica Hemieptaidratada,Genérico,Intramuscular/Intravenosa,1g,1 a 2g por dia
Dexametasona 4mg/mL Injetável,Fosfato Dissódico de Dexametasona,Genérico,Intramuscular,4mg/mL,1 ampola/dia
Metoclopramida 10mg/mL Injetável,Cloridrato de Metoclopramida,Genérico,Intramuscular,10mg/mL,1 ampola se necessário
Fentanila 0.05mg/mL,Citrato de Fentanila,Referência,Intravenosa,0.05mg/mL,Conforme uso anestésico
Midazolam 5mg/mL,Maleato de Midazolam,Genérico,Intramuscular/Intravenosa,5mg/mL,Conforme indicação médica
Clorpromazina Injetável 25mg/mL,Cloridrato de Clorpromazina,Genérico,Intramuscular,25mg/mL,1 ampola se necessário
Haloperidol Injetável 5mg/mL,Haloperidol,Genérico,Intramuscular,5mg/mL,1 ampola se necessário
Diazepam Injetável 10mg/2mL,Diazepam,Genérico,Intramuscular/Intravenosa,10mg/2mL,1 ampola em dose única
Fenitoína Injetável 250mg/5mL,Fenitoína Sódica,Genérico,Intravenosa,250mg/5mL,1 ampola conforme indicação médica
Ácido Valproico Injetável 400mg/4mL,Ácido Valproico,Referência,Intravenosa,100mg/mL,1 ampola 2x ao dia
Cloreto de Potássio 19.1%,Cloreto de Potássio,Genérico,Intravenosa (diluída),19.1%,Conforme necessidade de reposição
Morfina 10mg/mL,Cloridrato de Morfina,Referência,Intramuscular/Intravenosa,10mg/mL,1 ampola conforme dor
Tramadol 50mg/mL,Cloridrato de Tramadol,Genérico,Intramuscular/Intravenosa,50mg/mL,1 ampola a cada 6h se necessário
Ketorolaco 30mg/mL,Trometamol de Cetorolaco,Referência,Intramuscular,30mg/mL,1 ampola a cada 6 horas
Diclofenaco Sódico Injetável 75mg/3mL,Diclofenaco Sódico,Genérico,Intramuscular,25mg/mL,1 ampola ao dia
Hioscina Injetável 20mg/mL,Butilbrometo de Escopolamina,Genérico,Intramuscular,20mg/mL,1 ampola até 3x ao dia
Ondansetrona 4mg/2mL,Cloridrato de Ondansetrona,Genérico,Intravenosa/Intramuscular,2mg/mL,1 ampola a cada 8h
Prometazina Injetável 25mg/mL,Cloridrato de Prometazina,Genérico,Intramuscular,25mg/mL,1 ampola 1 a 2x ao dia
Dimenidrinato 50mg/mL Injetável,Dimenidrinato,Genérico,Intramuscular,50mg/mL,1 ampola a cada 8h se necessário
