Nome,Princípio Ativo,Tipo,Via de Administração,Concentração,Posologia
Fenoterol + Brometo de Ipratrópio,Fenoterol + Ipratrópio,Referência,Inalatória,0.1mg + 0.25mg/mL,20 gotas no nebulizador 3x ao dia
Adrenalina 1mg/mL,Cloridrato de Epinefrina,Referência,Intramuscular/Intravenosa/Subcutânea,1:1000,0.3 a 0.5mL por via IM em emergência
Noradrenalina 8mg/4mL,Tartarato de Norepinefrina,Referência,Intravenosa,2mg/mL,Diluir em soro e ajustar conforme resposta
Dobutamina 250mg/20mL,Cloridrato de Dobutamina,Genérico,Intravenosa,12.5mg/mL,Diluir em SG5% e ajustar conforme peso
Dopamina 200mg/10mL,Cloridrato de Dopamina,Genérico,Intravenosa,20mg/mL,Diluir em SG5% e ajustar conforme peso
Vasopressina 20UI/mL,Vasopressina,Referência,Intravenosa,20UI/mL,Diluir conforme protocolo
Atropina 0.5mg/mL,Sulfato de Atropina,Genérico,Intramuscular/Intravenosa,0.5mg/mL,0.5-1mg conforme necessário
Aminofilina 240mg/10mL,Aminofilina,Genérico,Intravenosa,24mg/mL,Dose de ataque: 5-6mg/kg
Digoxina 0.25mg/mL,Digoxina,Genérico,Intravenosa,0.25mg/mL,Conforme digitalização
Furosemida 20mg/2mL Injetável,Furosemida,Genérico,Intravenosa/Intramuscular,10mg/mL,20-40mg conforme necessário
Manitol 20%,Manitol,Genérico,Intravenosa,20%,0.5-2g/kg conforme pressão intracraniana
Bicarbonato de Sódio 8.4%,Bicarbonato de Sódio,Genérico,Intravenosa,8.4%,1mEq/kg conforme gasometria
Gluconato de Cálcio 10%,Gluconato de Cálcio,Genérico,Intravenosa,10%,1-2 ampolas conforme hipocalcemia
Sulfato de Magnésio 50%,Sulfato de Magnésio,Genérico,Intramuscular/Intravenosa,50%,2-4g conforme necessário
Vitamina K1 10mg/mL,Fitomenadiona,Genérico,Intramuscular,10mg/mL,1 ampola conforme coagulopatia
Complexo B Injetável,Vitaminas do Complexo B,Genérico,Intramuscular,ampola,1 ampola ao dia
Dexclorfeniramina 5mg/mL,Maleato de Dexclorfeniramina,Genérico,Intramuscular,5mg/mL,1 ampola se necessário
Dipirona 500mg/mL Injetável,Dipirona Sódica,Genérico,Intramuscular/Intravenosa,500mg/mL,1-2 ampolas se necessário
Tenoxicam 20mg,Tenoxicam,Genérico,Intramuscular/Intravenosa,20mg,1 ampola ao dia
Benzilpenicilina Cristalina 5.000.000UI,Penicilina G Cristalina,Genérico,Intravenosa,5.000.000UI,2-4 milhões UI de 4/4h
Ampicilina 1g,Ampicilina Sódica,Genérico,Intravenosa,1g,1-2g de 6/6h
Gentamicina 80mg/2mL,Sulfato de Gentamicina,Genérico,Intramuscular/Intravenosa,40mg/mL,3-5mg/kg/dia dividido
Vancomicina 500mg,Cloridrato de Vancomicina,Genérico,Intravenosa,500mg,15mg/kg de 12/12h
Cefazolina 1g,Cefazolina Sódica,Genérico,Intravenosa,1g,1-2g de 8/8h
Ceftazidima 1g,Ceftazidima,Genérico,Intravenosa,1g,1-2g de 8/8h
Flumazenil 0.1mg/mL,Flumazenil,Referência,Intravenosa,0.1mg/mL,0.2mg inicial pode repetir
Naloxona 0.4mg/mL,Cloridrato de Naloxona,Genérico,Intravenosa,0.4mg/mL,0.4-2mg pode repetir
Protamina 10mg/mL,Sulfato de Protamina,Genérico,Intravenosa,10mg/mL,1mg para cada 100UI de heparina
Vitamina C 500mg/5mL,Ácido Ascórbico,Genérico,Intravenosa,100mg/mL,1-2 ampolas ao dia
Ferro Dextran 50mg/mL,Ferro Dextran,Genérico,Intramuscular,50mg/mL,Conforme necessidade de ferro
Eritropoietina 4000UI,Eritropoietina Humana Recombinante,Referência,Subcutânea,4000UI,Conforme anemia e função renal
Filgrastim 300mcg,Filgrastim,Referência,Subcutânea,300mcg,5mcg/kg/dia conforme neutropenia
Imunoglobulina Humana 5g,Imunoglobulina Humana,Referência,Intravenosa,5g,0.4-2g/kg conforme indicação
Albumina Humana 20%,Albumina Humana,Referência,Intravenosa,20%,0.5-1g/kg conforme hipoalbuminemia
Plasma Fresco Congelado,Plasma Fresco Congelado,Referência,Intravenosa,unidade,10-15mL/kg conforme coagulopatia
Concentrado de Hemácias,Concentrado de Hemácias,Referência,Intravenosa,unidade,1 unidade eleva Hb em 1g/dL
Concentrado de Plaquetas,Concentrado de Plaquetas,Referência,Intravenosa,unidade,1 unidade/10kg de peso
Propofol 10mg/mL,Propofol,Referência,Intravenosa,10mg/mL,2-2.5mg/kg para indução
Etomidato 2mg/mL,Etomidato,Referência,Intravenosa,2mg/mL,0.3mg/kg para indução
Rocurônio 10mg/mL,Brometo de Rocurônio,Referência,Intravenosa,10mg/mL,0.6mg/kg para intubação
Succinilcolina 20mg/mL,Cloreto de Succinilcolina,Referência,Intravenosa,20mg/mL,1-1.5mg/kg para intubação
Neostigmina 0.5mg/mL,Metilsulfato de Neostigmina,Genérico,Intravenosa,0.5mg/mL,0.05mg/kg para reverter bloqueio
Bupivacaína 0.5%,Cloridrato de Bupivacaína,Genérico,Local,0.5%,Dose máxima 2mg/kg
Lidocaína 2%,Cloridrato de Lidocaína,Genérico,Local,2%,Dose máxima 4mg/kg
Ropivacaína 0.75%,Cloridrato de Ropivacaína,Referência,Local,0.75%,Dose máxima 3mg/kg
Sevoflurano,Sevoflurano,Referência,Inalatória,líquido volátil,1-8% conforme manutenção anestésica
Isoflurano,Isoflurano,Referência,Inalatória,líquido volátil,0.5-3% conforme manutenção anestésica
Óxido Nitroso,Óxido Nitroso,Referência,Inalatória,gás,50-70% como adjuvante anestésico
Oxigênio 100%,Oxigênio,Referência,Inalatória,gás,Conforme necessidade respiratória
Ar Comprimido Medicinal,Ar Comprimido,Referência,Inalatória,gás,Para nebulizações e ventilação
Heparina 5000UI/mL,Heparina Sódica,Genérico,Subcutânea/Intravenosa,5000UI/mL,5000UI de 12/12h profilático
Varfarina 5mg,Varfarina Sódica,Genérico,Oral,5mg,Dose conforme INR alvo
Rivaroxabana 15mg,Rivaroxabana,Referência,Oral,15mg,15-20mg ao dia conforme indicação
Apixabana 5mg,Apixabana,Referência,Oral,5mg,5mg de 12/12h
Dabigatrana 150mg,Etexilato de Dabigatrana,Referência,Oral,150mg,150mg de 12/12h
Ácido Acetilsalicílico 325mg,Ácido Acetilsalicílico,Genérico,Oral,325mg,1 comprimido ao dia
Ticagrelor 90mg,Ticagrelor,Referência,Oral,90mg,90mg de 12/12h
Prasugrel 10mg,Prasugrel,Referência,Oral,10mg,10mg ao dia
Cilostazol 100mg,Cilostazol,Genérico,Oral,100mg,100mg de 12/12h
Pentoxifilina 400mg,Pentoxifilina,Genérico,Oral,400mg,400mg de 8/8h
Isossorbida 40mg,Mononitrato de Isossorbida,Genérico,Oral,40mg,1 comprimido de 12/12h
Nitroglicerina Sublingual 0.4mg,Nitroglicerina,Referência,Sublingual,0.4mg,1 comprimido sob a língua se necessário
Dinitrato de Isossorbida 10mg,Dinitrato de Isossorbida,Genérico,Oral,10mg,10mg de 8/8h
Anlodipino 5mg,Besilato de Anlodipino,Genérico,Oral,5mg,5-10mg ao dia
Diltiazem 60mg,Cloridrato de Diltiazem,Genérico,Oral,60mg,60mg de 8/8h
Verapamil 80mg,Cloridrato de Verapamil,Genérico,Oral,80mg,80mg de 8/8h
Carvedilol 12.5mg,Carvedilol,Genérico,Oral,12.5mg,12.5mg de 12/12h
Bisoprolol 5mg,Fumarato de Bisoprolol,Genérico,Oral,5mg,5mg ao dia
Nebivolol 5mg,Cloridrato de Nebivolol,Referência,Oral,5mg,5mg ao dia
Enalapril 10mg,Maleato de Enalapril,Genérico,Oral,10mg,10mg de 12/12h
Lisinopril 10mg,Lisinopril,Genérico,Oral,10mg,10mg ao dia
Valsartana 160mg,Valsartana,Genérico,Oral,160mg,160mg ao dia
Telmisartana 80mg,Telmisartana,Genérico,Oral,80mg,80mg ao dia
Irbesartana 300mg,Irbesartana,Genérico,Oral,300mg,300mg ao dia
Candesartana 16mg,Candesartana Cilexetila,Genérico,Oral,16mg,16mg ao dia
Olmesartana 40mg,Olmesartana Medoxomila,Referência,Oral,40mg,40mg ao dia
Indapamida 2.5mg,Indapamida,Genérico,Oral,2.5mg,2.5mg ao dia
Clortalidona 25mg,Clortalidona,Genérico,Oral,25mg,25mg ao dia
Amilorida + Hidroclorotiazida 5mg + 50mg,Amilorida + Hidroclorotiazida,Genérico,Oral,5mg + 50mg,1 comprimido ao dia
Torasemida 10mg,Torasemida,Genérico,Oral,10mg,10mg ao dia
Bumetanida 1mg,Bumetanida,Genérico,Oral,1mg,1mg ao dia
Acetazolamida 250mg,Acetazolamida,Genérico,Oral,250mg,250mg de 8/8h
Manitol 20% Oral,Manitol,Genérico,Oral,solução,Conforme necessidade
Glicose 50% Injetável,Glicose Hipertônica,Genérico,Intravenosa,50%,1-2 ampolas conforme hipoglicemia
Glucagon 1mg,Glucagon,Referência,Subcutânea/Intramuscular,1mg,1mg conforme hipoglicemia severa
Gliclazida 60mg,Gliclazida,Genérico,Oral,60mg,60mg ao dia
Repaglinida 2mg,Repaglinida,Genérico,Oral,2mg,2mg antes das refeições
Pioglitazona 30mg,Pioglitazona,Genérico,Oral,30mg,30mg ao dia
Sitagliptina 100mg,Sitagliptina,Referência,Oral,100mg,100mg ao dia
Vildagliptina 50mg,Vildagliptina,Referência,Oral,50mg,50mg de 12/12h
Empagliflozina 25mg,Empagliflozina,Referência,Oral,25mg,25mg ao dia
Dapagliflozina 10mg,Dapagliflozina,Referência,Oral,10mg,10mg ao dia
Liraglutida 1.8mg,Liraglutida,Referência,Subcutânea,1.8mg,Dose progressiva até 1.8mg ao dia
Dulaglutida 1.5mg,Dulaglutida,Referência,Subcutânea,1.5mg,1.5mg por semana
Semaglutida 1mg,Semaglutida,Referência,Subcutânea,1mg,1mg por semana
Insulina Glargina,Insulina Glargina,Referência,Subcutânea,100UI/mL,Dose conforme glicemia
Insulina Detemir,Insulina Detemir,Referência,Subcutânea,100UI/mL,Dose conforme glicemia
Insulina Aspart,Insulina Aspart,Referência,Subcutânea,100UI/mL,Dose conforme glicemia pré-prandial
Insulina Lispro,Insulina Lispro,Referência,Subcutânea,100UI/mL,Dose conforme glicemia pré-prandial
Metimazol 5mg,Metimazol,Genérico,Oral,5mg,5-15mg de 8/8h
Iodo Radioativo I-131,Iodo Radioativo,Referência,Oral,cápsula,Dose conforme cintilografia
Levotiroxina 100mcg,Levotiroxina Sódica,Genérico,Oral,100mcg,Dose conforme TSH
Liotironina 25mcg,Liotironina Sódica,Genérico,Oral,25mcg,25mcg de 8/8h
Desmopressina 0.1mg,Acetato de Desmopressina,Referência,Oral,0.1mg,0.1-0.2mg ao dia
Octreotida 0.1mg,Acetato de Octreotida,Referência,Subcutânea,0.1mg,0.1mg de 8/8h
Hidrocortisona 20mg,Hidrocortisona,Genérico,Oral,20mg,20mg pela manhã
Prednisolona 5mg,Prednisolona,Genérico,Oral,5mg,5-40mg ao dia
Metilprednisolona 4mg,Metilprednisolona,Genérico,Oral,4mg,4-48mg ao dia
Betametasona 0.5mg,Betametasona,Genérico,Oral,0.5mg,0.5-8mg ao dia
Fludrocortisona 0.1mg,Acetato de Fludrocortisona,Genérico,Oral,0.1mg,0.1mg ao dia
Cabergolina 0.5mg,Cabergolina,Genérico,Oral,0.5mg,0.25-1mg por semana
Bromocriptina 2.5mg,Mesilato de Bromocriptina,Genérico,Oral,2.5mg,2.5mg de 12/12h
Testosterona 250mg/mL,Cipionato de Testosterona,Referência,Intramuscular,250mg/mL,250mg a cada 2-3 semanas
Estradiol 2mg,Estradiol,Genérico,Oral,2mg,1-2mg ao dia
Progesterona 200mg,Progesterona,Genérico,Oral,200mg,200mg ao dia
Raloxifeno 60mg,Cloridrato de Raloxifeno,Genérico,Oral,60mg,60mg ao dia
Tamoxifeno 20mg,Citrato de Tamoxifeno,Genérico,Oral,20mg,20mg ao dia
Anastrozol 1mg,Anastrozol,Genérico,Oral,1mg,1mg ao dia
Letrozol 2.5mg,Letrozol,Genérico,Oral,2.5mg,2.5mg ao dia
Exemestano 25mg,Exemestano,Genérico,Oral,25mg,25mg ao dia
Fulvestranto 250mg,Fulvestranto,Referência,Intramuscular,250mg,250mg mensalmente
Trastuzumab 440mg,Trastuzumab,Referência,Intravenosa,440mg,Dose conforme protocolo oncológico
Bevacizumab 400mg,Bevacizumab,Referência,Intravenosa,400mg,Dose conforme protocolo oncológico
Rituximab 500mg,Rituximab,Referência,Intravenosa,500mg,Dose conforme protocolo oncológico
Ciclofosfamida 200mg,Ciclofosfamida,Genérico,Oral,200mg,Dose conforme protocolo oncológico
Metotrexato 2.5mg,Metotrexato,Genérico,Oral,2.5mg,Dose conforme protocolo oncológico
Mercaptopurina 50mg,Mercaptopurina,Genérico,Oral,50mg,Dose conforme protocolo oncológico
Hidroxiureia 500mg,Hidroxiureia,Genérico,Oral,500mg,Dose conforme indicação hematológica
Imatinib 400mg,Mesilato de Imatinib,Genérico,Oral,400mg,400mg ao dia
Dasatinib 100mg,Dasatinib,Referência,Oral,100mg,100mg ao dia
Nilotinib 300mg,Nilotinib,Referência,Oral,300mg,300mg de 12/12h
Sorafenib 200mg,Sorafenib,Referência,Oral,200mg,400mg de 12/12h
Sunitinib 50mg,Sunitinib,Referência,Oral,50mg,50mg ao dia
Pazopanib 800mg,Pazopanib,Referência,Oral,800mg,800mg ao dia
Erlotinib 150mg,Erlotinib,Referência,Oral,150mg,150mg ao dia
Gefitinib 250mg,Gefitinib,Referência,Oral,250mg,250mg ao dia
Afatinib 40mg,Afatinib,Referência,Oral,40mg,40mg ao dia
Osimertinib 80mg,Osimertinib,Referência,Oral,80mg,80mg ao dia
Vemurafenib 960mg,Vemurafenib,Referência,Oral,960mg,960mg de 12/12h
Dabrafenib 150mg,Dabrafenib,Referência,Oral,150mg,150mg de 12/12h
Trametinib 2mg,Trametinib,Referência,Oral,2mg,2mg ao dia
Pembrolizumab 100mg,Pembrolizumab,Referência,Intravenosa,100mg,Dose conforme protocolo oncológico
Nivolumab 100mg,Nivolumab,Referência,Intravenosa,100mg,Dose conforme protocolo oncológico
Ipilimumab 50mg,Ipilimumab,Referência,Intravenosa,50mg,Dose conforme protocolo oncológico
Atezolizumab 1200mg,Atezolizumab,Referência,Intravenosa,1200mg,Dose conforme protocolo oncológico
Durvalumab 500mg,Durvalumab,Referência,Intravenosa,500mg,Dose conforme protocolo oncológico
Avelumab 800mg,Avelumab,Referência,Intravenosa,800mg,Dose conforme protocolo oncológico
